Variable,tau=0.1,tau=0.15,tau=0.2,tau=0.25,tau=0.3,tau=0.35,tau=0.4,tau=0.45,tau=0.5,tau=0.55,tau=0.6,tau=0.65,tau=0.7,tau=0.75,tau=0.8,tau=0.85,tau=0.9
intercept,8.81555811954906,11.5495816476561,13.7054067641844,15.1098401170742,15.9778240777495,17.3258777419421,18.5037748021377,19.2079162604904,19.9331790915084,21.0849015048219,21.6838663649384,22.2944482759428,23.2867856413147,25.0669247673919,26.8424565718251,27.9854333612086,29.243206299483
hvlt_immediaterecall,0.000940805123907467,0,0,0.00344479549632498,0,0,0,0,0,0,0,0,0,0,0,0,0
HVLTRDLY,2.57541574071612,3.22997881068633,3.22800179997602,2.73330094195728,2.34873265019998,2.58849574878036,2.768346595615,2.6948601972119,2.52959654391948,2.25582163548578,2.32796030662157,2.37091092092342,2.37142845759426,2.30589237452524,2.44837956930327,2.093928484547,1.76917828090391
hvlt_discrimination,0.398204943955876,0.073744720170383,0.388144652309253,0.587742674166173,0.539555559378489,0.465900185223746,0.533220891375566,0.47596515894765,0.480531034289307,0.630490877867597,0.730154095866326,0.808652417972181,0.16740454445066,0.234226649410638,0,0,0.018697170474014
HVLTFPRL,-0,-0,-9.15527343750001e-07,-7.42985652095734e-06,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,0,0,-0
HVLTREC,3.08483935288728,2.21204154260826,1.09320446207177,0.183853660850582,0.605351245036905,0.491513012965065,0.512333172697118,0.898810966180384,1.17670469751794,1.22018406880234,1.23501517900426,1.24532513341404,1.71634044922961,0.627707233522623,0.858802624837969,0.852473257291809,0.538067945817688
hvlt_retention,1.48385202477141e-05,0,0,3.662109375e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
VLTANIM,1.2000279997161,1.48965439464047,1.78385112656698,2.19381953648751,2.0752307839743,2.02567885718683,1.87452041303964,1.87397874871159,1.97369288199465,1.64918253623945,1.43349063224115,1.34649884317422,1.33896799371644,1.30198626158519,1.44438873451135,1.17333873470159,0.836035964974932
SDMTOTAL,4.13222128580875,3.65979019015315,3.35022726069933,3.7505263700155,3.78119378302888,3.60316210262145,2.97581773699003,2.85968947436116,2.65272218810136,2.52307423300972,2.23213373262386,2.20615783083043,2.02547976215109,1.78725490925398,1.0633520520683,0.948471526185763,0.863538003107439
bjlot,2.64208865903919,1.57971008201282,1.23554014517045,1.48667808810752,1.63244880756656,1.65856209611104,1.30734114061637,1.06217118007261,1.2401961446254,0.913692691092991,0.821360480927781,0.323749048228331,0.558161740996154,0.706621442094751,0,0.654330260229002,0.458105369876825
lns,4.20046938105203,4.27452474375685,3.89361640896436,4.22328768996022,3.91015267609299,2.97745093523235,2.92927763031005,2.71771818028897,2.36468627882327,2.26740051832267,2.27688133034214,2.27804131767719,2.11516137483306,1.76444147674462,1.65366088230992,1.25743295040173,1.57105611000884
ess,-0.00123331705729101,-0,0,-0.000375189122943597,0,0,0,0,0,0,0,0,-6.40869140625e-07,0,0,0,0
gds,-0,-0.000161901813126803,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0
upsit,1.41132911422962e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stai,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
pigd,-0,-0,0,-0,-0,-0,-0,0,0,-0,-0,0,-0,0,0,0,0
quip,-0.00469787525025254,-0.00022043434086072,-0.000192557935986315,-0,0,0,-0,0,0,-0,-0,0,-0,-0,-0,0,0
rem,0,0,0,-0,0,0,0,0,0,-0,0,0,-0,0,0,0,0
scopa,-0,-0,0,-0,0,0,0,0,0,-0,0,0,-0,0,0,0,0
updrs1_score,-0,-0,0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,0,0,-0
updrs2_score,-4.90838831121271e-05,-0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,0,0
updrs3_score,-0,-0,0,-0,-0,-0.000265821527859769,-0,0,0,-0,0,0,-0,0,0,0,0
MCI_testscores,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
APOE_e4,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0
age,-0,-1.79346610384634e-05,-0.000366388903627762,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
SEX,-0,-0,0,-0,0,-6.1798095703125e-06,0,0,-0,-0,0,-0,-0,0,0,0,-0
fampd_bin,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0
race_modified,0,0,0,5.63401442312283e-05,0,0,0,0,0,0,0,0,-0,0,0,0,0
handed_right,-0,-0.000805399151198571,0,-0,0,0,0,0,0,0,0,-0,-0,-3.90815734863281e-05,0,0,-0.00015625
handed_left,7.60327214720746e-06,1.953125e-05,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,-0
